adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
448,0.466666666666667,1,0.8,3,3,0.96,0.466666666666667,NaN,0.75
264,0.275,1,1,0,3,1.2,0.275,NaN,0
432,0.45,1,1,0,2,1.2,0.45,NaN,0
304,0.316666666666667,1,1,0,2,1.2,0.316666666666667,NaN,0
392,0.408333333333333,1,0.4,2,2,0.48,0.408333333333333,NaN,0.45
272,0.283333333333333,1,1,0,3,1.2,0.283333333333333,NaN,0
288,0.3,1,1,0,1,1.2,0.3,NaN,0
200,0.208333333333333,1,0.4,3,3,0.48,0.208333333333333,NaN,0.75
384,0.4,1,0.9,2,2,1.08,0.4,NaN,0.45
416,0.433333333333333,1,0.9,1,1,1.08,0.433333333333333,NaN,0.15
256,0.266666666666667,1,0.7,1,1,0.84,0.266666666666667,NaN,0.15
144,0.15,1,1,0,1,1.2,0.15,NaN,0
440,0.458333333333333,1,1,0,3,1.2,0.458333333333333,NaN,0
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
424,0.441666666666667,1,0.5,1,1,0.6,0.441666666666667,NaN,0.15
520,0.541666666666667,1,0.6,2,2,0.72,0.541666666666667,NaN,0.45
392,0.408333333333333,1,0.7,1,1,0.84,0.408333333333333,NaN,0.15
416,0.433333333333333,1,0.3,2,2,0.36,0.433333333333333,NaN,0.45
480,0.5,1,1,0,2,1.2,0.5,NaN,0
352,0.366666666666667,1,0.2,3,3,0.24,0.366666666666667,NaN,0.75
488,0.508333333333333,1,0.7,1,1,0.84,0.508333333333333,NaN,0.15
368,0.383333333333333,1,1,0,1,1.2,0.383333333333333,NaN,0
376,0.391666666666667,1,1,0,3,1.2,0.391666666666667,NaN,0
368,0.383333333333333,1,0.7,1,1,0.84,0.383333333333333,NaN,0.15
488,0.508333333333333,1,0.5,3,3,0.6,0.508333333333333,NaN,0.75
448,0.466666666666667,1,0.4,1,1,0.48,0.466666666666667,NaN,0.15
496,0.516666666666667,1,1,0,3,1.2,0.516666666666667,NaN,0
256,0.266666666666667,1,0.2,3,3,0.24,0.266666666666667,NaN,0.75
496,0.516666666666667,1,1,0,1,1.2,0.516666666666667,NaN,0
264,0.275,1,1,0,1,1.2,0.275,NaN,0
496,0.516666666666667,1,1,0,1,1.2,0.516666666666667,NaN,0
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
696,0.725,1,0.5,1,1,0.6,0.725,NaN,0.15
448,0.466666666666667,1,1,0,3,1.2,0.466666666666667,NaN,0
512,0.533333333333333,1,1,0,1,1.2,0.533333333333333,NaN,0
632,0.658333333333333,1,1,0,1,1.2,0.658333333333333,NaN,0
-680,-0.708333333333333,1,1,0,3,1.2,-0.708333333333333,NaN,0
-288,-0.3,1,1,0,3,1.2,-0.3,NaN,0
-608,-0.633333333333333,1,1,0,2,1.2,-0.633333333333333,NaN,0
-368,-0.383333333333333,1,1,0,1,1.2,-0.383333333333333,NaN,0
-472,-0.491666666666667,1,1,0,1,1.2,-0.491666666666667,NaN,0
-136,-0.141666666666667,1,0.9,1,1,1.08,-0.141666666666667,NaN,0.15
-528,-0.55,1,1,0,1,1.2,-0.55,NaN,0
-408,-0.425,1,0.5,2,2,0.6,-0.425,NaN,0.45
344,0.358333333333333,1,1,0,2,1.2,0.358333333333333,NaN,0
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
512,0.533333333333333,1,0,1,1,0,0.533333333333333,NaN,0.15
376,0.391666666666667,1,1,0,1,1.2,0.391666666666667,NaN,0
-496,-0.516666666666667,1,1,0,3,1.2,-0.516666666666667,NaN,0
-688,-0.716666666666667,1,1,0,3,1.2,-0.716666666666667,NaN,0
-736,-0.766666666666667,1,0.6,3,3,0.72,-0.766666666666667,NaN,0.75
472,0.491666666666667,1,0.2,1,1,0.24,0.491666666666667,NaN,0.15
456,0.475,1,0.4,3,3,0.48,0.475,NaN,0.75
432,0.45,1,1,0,2,1.2,0.45,NaN,0
496,0.516666666666667,1,1,0,1,1.2,0.516666666666667,NaN,0
504,0.525,1,1,0,2,1.2,0.525,NaN,0
376,0.391666666666667,1,0,2,2,0,0.391666666666667,NaN,0.45
464,0.483333333333333,1,1,0,3,1.2,0.483333333333333,NaN,0
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
